DIRECTOR,COMPANY, PERCENTAGE OF SHARES
JEANITA ANAK GAMANG,DAYANG ENTERPRISE HOLDINGS BHD,
JEFFREY CHEAH FOOK LING,SUNWAY BHD,4.47
JEFFREY CHEAH FOOK LING,SUNWAY REAL ESTATE INVESTMENT TRUST MANAGEMENT SDN BHD,5.54
JEFFREY NG TIONG LIP,SUNWAY REAL ESTATE INVESTMENT TRUST MANAGEMENT SDN BHD,
JEREMY DEREK CAMPBELL DIAMOND,UNITED PLANTATIONS BHD,0.01
JEREMY NASRULHAQ,MALAYSIA AIRPORTS HOLDINGS BHD,
JEYAKUMAR PALAKRISHNAR,WESTPORTS M SDN BHD,0.02
JOANNE LIEW WEI WOON ,AEON COMPANY M BHD,
JOE LING SIEW LOUNG,DAYANG ENTERPRISE HOLDINGS BHD,5.03
JOHAN ABDULLAH,BIMB HOLDINGS BHD,
JOHAN ARIFFIN,MAYBANK BANKING BHD,
JOHAN JAAFFAR,MEDIA PRIMA BHD,
JOHAN TAZRIN HAMID NGO,FRASER AND NEAVE HOLDINGS BHD,
JOHARI MAT,UNITED PLANTATIONS BHD,0.04
JOHN EDWARD WENHAM MEREDITH,WESTPORTS M SDN BHD,
JOHN FREIKSEN,SAPURAKENCANA PETROLEUM BHD,
JOHN SLOSAR,PURE CIRCLE ,
JORGEN BORNHOFT,FRASER AND NEAVE HOLDINGS BHD,
JORGEN BORNHOFT,HAP SENG CONSOLIDATED BHD,
JOSEPH TEK CHOON YEE,IJM PLANTATIONS BHD,
JUAN VILLALONGA NAVARRO,AXIATA GROUP BHD,
KAICHI YOKOYAMA,IHH HEALTHCARE BHD,
KALIMULLAH MASHEERUL HASSAN,AIR ASIA X BHD,4.27
KALSOM ABD RAHMAN,MISC BHD,
KAMARIYAH HAMDAN,DIALOG GROUP BHD,0.04
KAMARUDDIN NORDIN,TAN CHONG MOTOR HOLDINGS BHD,0.0008
KAMARUDIN MERANUN,AIR ASIA X BHD,0.07
